# File created by cg/ins/runs/readTerrain.m (matlab script)
# This is a 2d cross section at iy=71, y=7.215110e+02
# This file is included in the ogen script terrainGrid2d.cmd.
# You should define the variable $degree to be the degree of the NURBS
# xScale=1.000000e+00 yScale=1.000000e+00
$xMin=0.000000e+00; $xMax=1.485494e+03; $yMin=2.739066e+02; $yMax=4.023699e+02; # bounds
183 $degree
0.000000e+00 2.803264e+02
8.162056e+00 2.803264e+02
1.632411e+01 2.803264e+02
2.448617e+01 2.801877e+02
3.264823e+01 2.798072e+02
4.081028e+01 2.792310e+02
4.897234e+01 2.785244e+02
5.713439e+01 2.777724e+02
6.529645e+01 2.770878e+02
7.345851e+01 2.766389e+02
8.162056e+01 2.767245e+02
8.978262e+01 2.779017e+02
9.794468e+01 2.809251e+02
1.061067e+02 2.856073e+02
1.142688e+02 2.902436e+02
1.224308e+02 2.939859e+02
1.305929e+02 2.967756e+02
1.387550e+02 2.980762e+02
1.469170e+02 2.977674e+02
1.550791e+02 2.967664e+02
1.632411e+02 2.962358e+02
1.714032e+02 2.969773e+02
1.795652e+02 2.994746e+02
1.877273e+02 3.037652e+02
1.958894e+02 3.092688e+02
2.040514e+02 3.151621e+02
2.122135e+02 3.207620e+02
2.203755e+02 3.256869e+02
2.285376e+02 3.300191e+02
2.366996e+02 3.340956e+02
2.448617e+02 3.381696e+02
2.530237e+02 3.420619e+02
2.611858e+02 3.448366e+02
2.693479e+02 3.452630e+02
2.775099e+02 3.429177e+02
2.856720e+02 3.385705e+02
2.938340e+02 3.333944e+02
3.019961e+02 3.279439e+02
3.101581e+02 3.221740e+02
3.183202e+02 3.161394e+02
3.264823e+02 3.094956e+02
3.346443e+02 3.010899e+02
3.428064e+02 2.912191e+02
3.509684e+02 2.825108e+02
3.591305e+02 2.769077e+02
3.672925e+02 2.742717e+02
3.754546e+02 2.739066e+02
3.836166e+02 2.758232e+02
3.917787e+02 2.801388e+02
3.999408e+02 2.859465e+02
4.081028e+02 2.917443e+02
4.162649e+02 2.966292e+02
4.244269e+02 3.006122e+02
4.325890e+02 3.040409e+02
4.407510e+02 3.070929e+02
4.489131e+02 3.098368e+02
4.570752e+02 3.123263e+02
4.652372e+02 3.144107e+02
4.733993e+02 3.157470e+02
4.815613e+02 3.161650e+02
4.897234e+02 3.158099e+02
4.978854e+02 3.148736e+02
5.060475e+02 3.134127e+02
5.142095e+02 3.113423e+02
5.223716e+02 3.084202e+02
5.305337e+02 3.044338e+02
5.386957e+02 2.997086e+02
5.468578e+02 2.954800e+02
5.550198e+02 2.935765e+02
5.631819e+02 2.952827e+02
5.713439e+02 3.000249e+02
5.795060e+02 3.056827e+02
5.876681e+02 3.106258e+02
5.958301e+02 3.146838e+02
6.039922e+02 3.184930e+02
6.121542e+02 3.226542e+02
6.203163e+02 3.272795e+02
6.284783e+02 3.321074e+02
6.366404e+02 3.370320e+02
6.448024e+02 3.421914e+02
6.529645e+02 3.474664e+02
6.611266e+02 3.525400e+02
6.692886e+02 3.572519e+02
6.774507e+02 3.615018e+02
6.856127e+02 3.656103e+02
6.937748e+02 3.702662e+02
7.019368e+02 3.755778e+02
7.100989e+02 3.811421e+02
7.182610e+02 3.869041e+02
7.264230e+02 3.927769e+02
7.345851e+02 3.979315e+02
7.427471e+02 4.012981e+02
7.509092e+02 4.023699e+02
7.590712e+02 4.014577e+02
7.672333e+02 3.994384e+02
7.753953e+02 3.968480e+02
7.835574e+02 3.934925e+02
7.917195e+02 3.894347e+02
7.998815e+02 3.855907e+02
8.080436e+02 3.827833e+02
8.162056e+02 3.810562e+02
8.243677e+02 3.802720e+02
8.325297e+02 3.805281e+02
8.406918e+02 3.817063e+02
8.488539e+02 3.832647e+02
8.570159e+02 3.845937e+02
8.651780e+02 3.852714e+02
8.733400e+02 3.851392e+02
8.815021e+02 3.842307e+02
8.896641e+02 3.824282e+02
8.978262e+02 3.794444e+02
9.059882e+02 3.754365e+02
9.141503e+02 3.709835e+02
9.223124e+02 3.662076e+02
9.304744e+02 3.609753e+02
9.386365e+02 3.557104e+02
9.467985e+02 3.508322e+02
9.549606e+02 3.464376e+02
9.631226e+02 3.429284e+02
9.712847e+02 3.406209e+02
9.794468e+02 3.390250e+02
9.876088e+02 3.374475e+02
9.957709e+02 3.355838e+02
1.003933e+03 3.334128e+02
1.012095e+03 3.311378e+02
1.020257e+03 3.290673e+02
1.028419e+03 3.273613e+02
1.036581e+03 3.260462e+02
1.044743e+03 3.250518e+02
1.052905e+03 3.241663e+02
1.061067e+03 3.231420e+02
1.069229e+03 3.218369e+02
1.077391e+03 3.202379e+02
1.085553e+03 3.184172e+02
1.093716e+03 3.164179e+02
1.101878e+03 3.140984e+02
1.110040e+03 3.111199e+02
1.118202e+03 3.073477e+02
1.126364e+03 3.032355e+02
1.134526e+03 2.993012e+02
1.142688e+03 2.953347e+02
1.150850e+03 2.906232e+02
1.159012e+03 2.851899e+02
1.167174e+03 2.803000e+02
1.175336e+03 2.772108e+02
1.183498e+03 2.762727e+02
1.191660e+03 2.773170e+02
1.199822e+03 2.797725e+02
1.207984e+03 2.826056e+02
1.216146e+03 2.852023e+02
1.224308e+03 2.880054e+02
1.232470e+03 2.915113e+02
1.240633e+03 2.951973e+02
1.248795e+03 2.980095e+02
1.256957e+03 2.994998e+02
1.265119e+03 3.002564e+02
1.273281e+03 3.011411e+02
1.281443e+03 3.024223e+02
1.289605e+03 3.038497e+02
1.297767e+03 3.051458e+02
1.305929e+03 3.062668e+02
1.314091e+03 3.073387e+02
1.322253e+03 3.085096e+02
1.330415e+03 3.100029e+02
1.338577e+03 3.122099e+02
1.346739e+03 3.154906e+02
1.354901e+03 3.197907e+02
1.363063e+03 3.245585e+02
1.371225e+03 3.293174e+02
1.379388e+03 3.341335e+02
1.387550e+03 3.390388e+02
1.395712e+03 3.437486e+02
1.403874e+03 3.483079e+02
1.412036e+03 3.528953e+02
1.420198e+03 3.575300e+02
1.428360e+03 3.621098e+02
1.436522e+03 3.664600e+02
1.444684e+03 3.703586e+02
1.452846e+03 3.735609e+02
1.461008e+03 3.758379e+02
1.469170e+03 3.770179e+02
1.477332e+03 3.770179e+02
1.485494e+03 3.770179e+02
